id_reserva,id_cliente,data_checkin,data_checkout,valor_total
1,4762,2024-06-28,2024-07-19,9738.74
2,1832,2024-04-22,2024-05-20,5462.52
3,2002,2024-07-06,2024-08-12,2529.75
4,1865,2024-03-17,2024-05-22,1435.9
5,4106,2024-05-28,2024-07-05,2713.77
6,3005,2024-04-08,2024-08-29,3726.64
7,1066,2024-06-24,2024-07-17,7851.19
8,2335,2024-02-08,2024-06-04,6487.5
9,1758,2023-12-11,2024-08-07,9699.13
10,4848,2023-10-17,2024-08-27,7891.05
11,661,2023-10-05,2023-11-08,560.01
12,3455,2024-01-15,2024-02-16,3879.52
13,1621,2024-06-04,2024-07-25,5807.32
14,3066,2024-06-24,2024-06-27,871.86
15,967,2024-09-16,2024-09-30,9311.48
16,2780,2024-08-13,2024-09-30,7726.88
17,2869,2023-12-26,2024-03-29,9947.23
18,2645,2024-04-19,2024-09-02,6896.95
19,3390,2024-01-26,2024-04-10,6772.38
20,3000,2024-09-08,2024-09-18,8423.66
21,3902,2024-05-08,2024-06-16,7535.69
22,2743,2023-10-07,2024-03-28,5276.7
23,4243,2024-01-10,2024-06-15,9806.94
24,904,2024-06-05,2024-08-03,5914.61
25,1927,2024-06-19,2024-07-24,9512.38
26,568,2023-12-02,2024-02-26,4674.81
27,2161,2024-03-11,2024-05-04,4826.75
28,1319,2024-01-12,2024-02-03,6914.66
29,2073,2024-02-25,2024-06-25,6938.54
30,4746,2024-09-07,2024-09-27,1717.94
31,2801,2024-09-23,2024-10-02,688.69
32,4911,2023-12-30,2024-09-30,196.37
33,4057,2024-05-13,2024-09-27,2889.05
34,754,2023-10-11,2024-04-02,9788.02
35,1540,2024-03-27,2024-04-09,6890.33
36,1852,2024-09-15,2024-09-28,4509.4
37,2625,2023-10-25,2024-06-14,6258.63
38,1815,2024-06-11,2024-07-14,1912.61
39,3082,2024-01-17,2024-02-06,9768.94
40,4220,2023-10-19,2024-07-10,2245.53
41,2512,2024-08-26,2024-08-27,2695.84
42,1818,2024-08-23,2024-09-26,9252.46
43,5,2024-04-12,2024-07-22,6283.31
44,2361,2023-10-22,2024-01-21,871.75
45,2054,2023-12-20,2024-06-04,5130.05
46,2427,2024-07-20,2024-09-23,7786.69
47,4853,2023-11-20,2024-07-21,4561.19
48,2951,2024-08-16,2024-09-17,4175.43
49,4653,2024-09-09,2024-09-25,3940.35
50,2125,2024-06-18,2024-07-29,6498.75
51,3475,2024-06-16,2024-07-13,1234.41
52,936,2023-10-08,2023-11-05,3801.77
53,4280,2024-08-26,2024-10-04,875.68
54,4735,2024-08-04,2024-08-31,1265.1
55,803,2024-03-22,2024-09-11,5112.8
56,4167,2024-03-15,2024-04-14,3473.43
57,4374,2024-07-29,2024-09-24,4749.35
58,3708,2024-07-26,2024-08-31,9855.56
59,3323,2024-07-02,2024-08-31,422.05
60,3575,2024-01-03,2024-04-13,7916.23
61,3357,2024-05-07,2024-06-03,5765.5
62,3480,2024-08-31,2024-09-28,556.45
63,3333,2023-11-07,2024-07-07,9249.11
64,4994,2024-02-02,2024-08-20,6546.22
65,3149,2024-05-17,2024-08-31,3089.4
66,1811,2024-02-24,2024-02-29,5901.81
67,2403,2023-12-31,2024-09-03,8247.66
68,2981,2024-03-12,2024-06-25,1019.08
69,1539,2024-04-14,2024-07-09,1280.86
70,4322,2024-07-26,2024-09-15,9214.22
71,2746,2024-03-29,2024-06-30,2695.38
72,1984,2024-06-09,2024-10-01,8663.12
73,810,2024-04-26,2024-06-19,5453.84
74,2290,2024-09-22,2024-09-25,1071.73
75,3003,2024-09-08,2024-09-28,7611.6
76,201,2023-10-20,2024-06-24,2106.75
77,4347,2024-08-11,2024-08-31,9404.68
78,2058,2024-05-28,2024-06-19,8379.91
79,1982,2024-06-18,2024-09-22,4748.97
80,2456,2024-08-19,2024-09-20,5172.12
81,239,2023-12-09,2024-03-28,1306.4
82,4823,2023-11-23,2024-07-29,3304.26
83,2180,2024-08-18,2024-08-18,6641.95
84,472,2024-05-04,2024-08-07,7730.18
85,706,2023-11-03,2024-02-13,4863.37
86,2499,2023-10-01,2024-09-11,2791.43
87,118,2024-04-24,2024-08-04,411.13
88,1917,2023-10-05,2024-01-20,8525.16
89,3593,2024-08-06,2024-09-11,7487.31
90,118,2024-05-05,2024-05-28,506.55
91,1434,2023-11-13,2024-06-07,1378.3
92,4142,2024-05-06,2024-05-10,2695.79
93,1020,2024-01-29,2024-08-26,6998.68
94,3586,2023-11-13,2024-09-24,8190.7
95,4510,2024-07-14,2024-08-04,6278.6
96,3961,2024-07-17,2024-07-21,2127.75
97,811,2024-08-20,2024-10-04,6499.56
98,2638,2024-09-20,2024-09-25,7800.63
99,1126,2024-08-14,2024-08-29,4195.07
100,3679,2024-04-12,2024-06-01,248.51
101,1054,2023-12-05,2024-06-29,3368.84
102,3687,2023-10-03,2024-03-25,9730.34
103,2969,2024-03-14,2024-09-17,3524.05
104,2974,2024-07-24,2024-08-26,1763.75
105,4846,2024-07-30,2024-08-13,9152.27
106,1197,2024-07-08,2024-08-02,9864.15
107,3522,2024-01-27,2024-09-24,3076.64
108,2366,2024-08-20,2024-09-25,4611.43
109,4057,2023-10-23,2024-01-03,4131.21
110,4901,2023-12-30,2024-06-28,2080.49
111,2044,2023-12-21,2024-08-26,9658.42
112,2871,2023-11-02,2024-03-29,9973.86
113,1711,2024-05-21,2024-05-22,2945.7
114,3180,2024-03-07,2024-08-10,1371.75
115,3913,2024-01-25,2024-08-16,9187.56
116,2731,2024-07-27,2024-08-26,1074.88
117,1237,2024-09-17,2024-09-20,3415.5
118,203,2024-04-11,2024-10-05,2785.99
119,3673,2023-09-28,2024-09-14,6621.18
120,1069,2023-12-21,2024-08-21,3622.87
121,2447,2024-04-04,2024-04-15,3348.33
122,2470,2024-09-01,2024-09-23,8860.47
123,3946,2023-12-23,2024-05-21,3668.17
124,657,2024-05-13,2024-09-03,4641.48
125,3924,2024-05-18,2024-06-15,7493.63
126,267,2024-03-15,2024-09-20,105.95
127,4959,2024-08-23,2024-08-24,1302.02
128,825,2024-02-20,2024-04-28,6904.56
129,1598,2023-09-29,2024-08-30,7865.41
130,830,2024-05-03,2024-09-16,1709.56
131,2018,2023-12-19,2024-02-12,6368.64
132,4259,2024-07-10,2024-07-16,8726.52
133,4027,2023-11-13,2024-09-01,475.49
134,1408,2024-08-07,2024-10-05,595.33
135,1865,2024-01-10,2024-06-23,5585.91
136,245,2024-03-17,2024-05-22,8438.51
137,294,2023-10-22,2024-09-19,4325.42
138,2432,2023-10-13,2023-10-24,4591.67
139,1295,2024-03-15,2024-03-21,8261.97
140,3686,2023-11-05,2024-01-25,896.34
141,268,2024-02-10,2024-03-18,9660.39
142,4526,2024-03-21,2024-03-29,6534.74
143,1856,2024-07-26,2024-10-05,9554.23
144,3883,2024-05-17,2024-09-15,4800.13
145,4662,2023-10-28,2024-03-06,8946.84
146,4431,2023-10-10,2024-04-10,3940.77
147,3560,2023-11-23,2024-01-23,9776.29
148,1611,2024-03-30,2024-04-09,4627.86
149,4291,2024-07-21,2024-09-09,4106.7
150,2648,2023-12-10,2024-05-18,4274.62
151,3496,2024-02-04,2024-07-27,7834.47
152,4300,2023-10-30,2023-12-27,7479.06
153,4381,2023-10-09,2023-11-20,4673.88
154,3566,2024-03-04,2024-08-05,7415.66
155,4349,2024-04-03,2024-08-20,4556.93
156,1077,2024-07-08,2024-07-27,3792.91
157,4789,2024-01-21,2024-03-14,9650.66
158,2471,2024-01-04,2024-02-29,3977.43
159,324,2024-08-06,2024-09-17,1938.15
160,3919,2024-01-07,2024-08-11,4232.58
161,2505,2023-12-31,2024-02-22,5363.88
162,3478,2024-03-22,2024-09-14,7920.16
163,1616,2023-11-13,2024-05-14,9189.86
164,4781,2023-12-24,2024-04-17,8223.24
165,2484,2023-11-07,2024-09-17,1271.34
166,4901,2024-08-18,2024-08-22,9388.38
167,908,2024-03-08,2024-08-21,6977.31
168,1180,2024-02-01,2024-08-18,3127.4
169,2935,2023-11-23,2024-02-21,401.73
170,1813,2024-03-25,2024-06-10,3492.87
171,1184,2024-01-21,2024-02-29,1379.08
172,4562,2024-05-16,2024-06-25,3366.45
173,3920,2023-11-20,2024-04-20,9329.66
174,3173,2024-02-27,2024-04-17,3065.05
175,4805,2024-08-10,2024-08-18,7305.58
176,1728,2024-07-05,2024-08-16,8573.07
177,2067,2024-03-09,2024-04-25,9663.58
178,1261,2024-06-08,2024-09-02,4939.47
179,1450,2023-12-13,2024-09-28,5443.09
